Date,Time,lat,lon,depth,mb,Ms,Mw,,,
19-08-1995,19:57:14,40.2249,29.6288,13.8,4.3,3.381555375,4.19643,,,
21-03-1996,13:02:21,40.2625,29.5516,9.1,3.9,2.599742128,3.62039,,,
16-12-1996,02:31:20,40.6762,31.0281,11,3.7,2.208835505,3.33237,,,
21-10-1997,10:49:34,40.7272,30.4483,5.7,4.2,3.186102063,4.05242,,,
22-10-1998,23:47:22,41.0045,31.7508,10,4,2.79519544,3.7644,,,
17-08-1999,00:01:41,40.7968,29.9952,16.3,6.3,7.8,7.6,,,
17-08-1999,00:15:20,40.7018,30.8455,11,4.7,4.163368621,4.77247,,,
17-08-1999,00:16:28,40.7308,29.9134,12,5,4.749728556,5.2045,,,
17-08-1999,00:21:07,40.6657,30.435,11,4.6,3.967915309,4.62846,,,
17-08-1999,01:07:54,40.843,29.8906,10,4.7,4.163368621,4.77247,,,
17-08-1999,01:22:17,41.7807,32.8266,11,3.5,1.817928882,3.04435,,,
17-08-1999,01:58:08,41.5394,32.9533,11,4.1,2.990648751,3.90841,,,
17-08-1999,02:16:27,40.8058,30.0816,12,3.4,1.62247557,2.90034,,,
17-08-1999,02:42:57,40.6822,30.6152,7.8,4.9,4.554275244,5.06049,,,
17-08-1999,02:50:48,40.796,29.9651,15.4,5,5.3,5.2045,,,
17-08-1999,03:08:16,41.933,33.7081,11,4.3,3.381555375,4.19643,,,
17-08-1999,03:14:04,41.7237,32.5507,19.4,5,4.749728556,5.2045,,,
17-08-1999,04:40:00,40.7128,30.3054,11,4.1,2.990648751,3.90841,,,
17-08-1999,04:44:18,41.7748,32.8245,10,4.3,3.381555375,4.19643,,,
17-08-1999,05:10:10,40.828,30.1818,9.9,4.7,4.1,4.77247,,,
17-08-1999,05:29:11,40.8047,30.3422,11,3.5,1.817928882,3.04435,,,
17-08-1999,05:45:23,40.8138,30.0843,6.6,4.3,3.381555375,4.19643,,,
17-08-1999,06:28:02,40.8137,31.0329,11,4.9,4.5,5.06049,,,
17-08-1999,06:35:03,41.6607,32.6283,11,4.2,3.186102063,4.05242,,,
17-08-1999,09:02:12,40.8215,31.1154,11,4.7,4,4.77247,,,
17-08-1999,09:31:57,40.7395,30.0867,10,4.2,3.186102063,4.05242,,,
17-08-1999,11:36:45,40.6652,30.3206,11,3.9,2.599742128,3.62039,,,
17-08-1999,11:58:11,40.636,30.4732,11,4.4,3.9,4.34044,,,
17-08-1999,13:10:26,40.7053,29.612,6.5,3.7,2.208835505,3.33237,,,
17-08-1999,14:35:06,40.6651,30.316,11,3.8,2.404288817,3.47638,,,
17-08-1999,15:17:54,40.7419,26.7876,14.4,4.1,2.990648751,3.90841,,,
17-08-1999,17:09:15,40.7604,30.2108,12,4,3.1,3.7644,,,
17-08-1999,17:28:47,40.8101,30.1147,12,3.5,1.817928882,3.04435,,,
17-08-1999,20:30:42,40.7261,26.2776,9.6,3.8,2.404288817,3.47638,,,
17-08-1999,21:14:13,42.6787,32.7143,11,3.7,2.208835505,3.33237,,,
17-08-1999,22:12:49,42.7292,32.6099,11,4,2.79519544,3.7644,,,
18-08-1999,01:04:27,43.6646,31.735,11,4.3,3.381555375,4.19643,,,
18-08-1999,11:30:47,42.7088,32.5522,11,3.6,2.013382193,3.18836,,,
18-08-1999,15:34:18,42.8476,32.134,12,4.1,3.2,3.90841,,,
18-08-1999,21:15:56,44.6883,32.6084,11,4.2,3.186102063,4.05242,,,
19-08-1999,13:04:14,40.6897,30.5921,11,4.8,3.7,4.6,,,
20-08-1999,00:03:03,40.7525,29.8165,7.6,4.3,3.381555375,4.19643,,,
21-08-1999,19:21:25,42.63,32.4143,11,3.8,2.404288817,3.47638,,,
22-08-1999,14:31:01,42.707,32.6945,11,4.6,3.967915309,4.62846,,,
23-08-1999,20:35:27,40.7112,30.5664,11,4,2.79519544,3.7644,,,
23-08-1999,21:54:52,40.677,29.1695,11,3.7,3.2,3.33237,,,
24-08-1999,18:58:59,40.7162,30.0103,8,3.8,2.404288817,3.47638,,,
26-08-1999,17:49:40,40.7514,30.0278,12,3.8,2.404288817,3.47638,,,
29-08-1999,10:15:05,40.804,31.0495,11,4.5,3.2,4.48445,,,
31-08-1999,08:10:51,40.7866,29.9091,6.7,5.3,4.8,5.2,,,
31-08-1999,08:33:26,40.7529,29.9155,11,4.5,3.8,4.5,,,
02-09-1999,14:25:22,40.5687,30.6019,11,4.2,3.186102063,4.05242,,,
04-09-1999,10:30:54,40.7441,29.9386,11,3.9,2.599742128,3.62039,,,
05-09-1999,19:52:48,40.5861,30.5079,11,4.1,2.990648751,3.90841,,,
06-09-1999,06:33:27,40.7402,29.7263,12.7,4,2.79519544,3.7644,,,
06-09-1999,07:00:02,43.7645,33.9759,11,3.9,2.599742128,3.62039,,,
06-09-1999,19:44:31,43.7127,33.0618,11,4,2.79519544,3.7644,,,
13-09-1999,11:55:30,40.7873,30.0853,15.7,5.7,5.7,5.8,,,
17-09-1999,19:50:07,40.7718,30.113,12,4.5,3.2,4.48445,,,
18-09-1999,00:48:26,40.6742,29.1682,9.6,4.6,4.2,4.8,,,
19-09-1999,20:26:38,40.6716,30.4681,11,4.2,3.4,4.05242,,,
29-09-1999,00:13:08,40.799,29.3771,14.6,4.9,4.7,5.2,,,
07-11-1999,11:15:37,40.7299,30.114,10,3.7,2.208835505,3.33237,,,
07-11-1999,16:54:43,40.7263,30.6896,9,4.7,4.2,4.9,,,
07-11-1999,17:06:08,40.7144,30.6736,11,4.3,3.381555375,4.19643,,,
08-11-1999,11:59:47,40.6614,30.6661,11,4.2,3.186102063,4.05242,,,
11-11-1999,14:41:26,40.8069,30.2183,13.1,5.4,5.5,5.6,,,
11-11-1999,14:55:27,40.8046,30.2205,12,4,2.79519544,3.7644,,,
12-11-1999,16:57:23,40.8243,31.2073,14.9,6.3,7.4,7.2,,,
12-11-1999,17:06:12,40.6838,31.3486,9,4.5,3.772461998,4.48445,,,
